time,open,high,low,close,tick_volume,spread,real_volume,time_d,Day
2025-09-19 03:00:00,4.25905,4.25982,4.25715,4.25781,318,275,0,2025-09-19,Friday
2025-09-19 04:00:00,4.25786,4.26007,4.25717,4.26007,219,305,0,2025-09-19,Friday
2025-09-19 05:00:00,4.26007,4.26192,4.25872,4.25892,1790,251,0,2025-09-19,Friday
2025-09-19 06:00:00,4.25892,4.26202,4.25852,4.2613199999999996,1398,240,0,2025-09-19,Friday
2025-09-19 07:00:00,4.2613199999999996,4.26707,4.26102,4.26696,747,240,0,2025-09-19,Friday
2025-09-19 08:00:00,4.267,4.26722,4.26182,4.26352,1244,240,0,2025-09-19,Friday
2025-09-19 09:00:00,4.26352,4.26382,4.26184,4.26202,1053,241,0,2025-09-19,Friday
2025-09-19 10:00:00,4.26212,4.26282,4.26092,4.26112,2035,240,0,2025-09-19,Friday
2025-09-19 11:00:00,4.26112,4.26562,4.26082,4.26542,1506,241,0,2025-09-19,Friday
2025-09-19 12:00:00,4.26546,4.2655,4.26192,4.26262,1160,240,0,2025-09-19,Friday
2025-09-19 13:00:00,4.26262,4.26352,4.26102,4.26232,2332,251,0,2025-09-19,Friday
2025-09-19 14:00:00,4.26232,4.26372,4.2613199999999996,4.26202,1643,242,0,2025-09-19,Friday
2025-09-19 15:00:00,4.26202,4.26267,4.26092,4.26142,2267,276,0,2025-09-19,Friday
2025-09-19 16:00:00,4.26142,4.26242,4.26062,4.26202,335,276,0,2025-09-19,Friday
2025-09-19 17:00:00,4.26202,4.26402,4.26032,4.26062,319,246,0,2025-09-19,Friday
2025-09-19 18:00:00,4.26062,4.2611,4.26,4.26049,495,279,0,2025-09-19,Friday
2025-09-19 19:00:00,4.2605,4.2636,4.25745,4.2592,376,262,0,2025-09-19,Friday
2025-09-21 20:00:00,4.25061,4.26167,4.2495,4.25929,789,855,0,2025-09-21,Sunday
2025-09-21 21:00:00,4.25929,4.26387,4.25929,4.26332,465,501,0,2025-09-21,Sunday
2025-09-21 22:00:00,4.26332,4.26426,4.26192,4.26216,562,456,0,2025-09-21,Sunday
2025-09-21 23:00:00,4.26357,4.26496,4.26194,4.26382,133,348,0,2025-09-21,Sunday
2025-09-22 00:00:00,4.26382,4.26382,4.26169,4.26169,101,356,0,2025-09-22,Monday
2025-09-22 01:00:00,4.26362,4.26372,4.26128,4.26352,132,345,0,2025-09-22,Monday
2025-09-22 02:00:00,4.26352,4.26392,4.26203,4.26372,157,326,0,2025-09-22,Monday
2025-09-22 03:00:00,4.26372,4.2645,4.26168,4.26439,361,268,0,2025-09-22,Monday
2025-09-22 04:00:00,4.26439,4.26452,4.26111,4.26157,448,281,0,2025-09-22,Monday
2025-09-22 05:00:00,4.26157,4.26352,4.25952,4.26242,1423,246,0,2025-09-22,Monday
2025-09-22 06:00:00,4.26252,4.26352,4.25992,4.26232,1758,240,0,2025-09-22,Monday
2025-09-22 07:00:00,4.26232,4.26412,4.26022,4.26402,775,240,0,2025-09-22,Monday
2025-09-22 08:00:00,4.26402,4.26462,4.25952,4.26243,913,240,0,2025-09-22,Monday
2025-09-22 09:00:00,4.26247,4.26282,4.25812,4.25932,863,240,0,2025-09-22,Monday
2025-09-22 10:00:00,4.25932,4.25962,4.25622,4.25642,860,240,0,2025-09-22,Monday
2025-09-22 11:00:00,4.25642,4.25842,4.25462,4.25502,679,240,0,2025-09-22,Monday
2025-09-22 12:00:00,4.25476,4.25612,4.25272,4.25502,861,240,0,2025-09-22,Monday
2025-09-22 13:00:00,4.25502,4.25548,4.25322,4.25342,1352,246,0,2025-09-22,Monday
2025-09-22 14:00:00,4.25337,4.25432,4.25292,4.25382,1038,240,0,2025-09-22,Monday
2025-09-22 15:00:00,4.25382,4.25432,4.25242,4.2540700000000005,633,246,0,2025-09-22,Monday
2025-09-22 16:00:00,4.2540700000000005,4.25532,4.25381,4.25442,1452,256,0,2025-09-22,Monday
2025-09-22 17:00:00,4.25442,4.25472,4.25284,4.25412,292,284,0,2025-09-22,Monday
2025-09-22 18:00:00,4.25412,4.2548,4.2539,4.2548,135,296,0,2025-09-22,Monday
2025-09-22 19:00:00,4.2548,4.25486,4.25338,4.25338,241,300,0,2025-09-22,Monday
2025-09-22 20:00:00,4.24708,4.25365,4.24685,4.25337,122,497,0,2025-09-22,Monday
2025-09-22 21:00:00,4.25347,4.25437,4.25191,4.25204,191,489,0,2025-09-22,Monday
2025-09-22 22:00:00,4.25206,4.25412,4.2520299999999995,4.25402,959,426,0,2025-09-22,Monday
2025-09-22 23:00:00,4.25396,4.25482,4.25248,4.25422,84,334,0,2025-09-22,Monday
2025-09-23 00:00:00,4.25392,4.25432,4.25354,4.25382,283,369,0,2025-09-23,Tuesday
2025-09-23 01:00:00,4.25382,4.25451,4.25274,4.25444,170,367,0,2025-09-23,Tuesday
2025-09-23 02:00:00,4.25441,4.25497,4.25261,4.25278,153,350,0,2025-09-23,Tuesday
2025-09-23 03:00:00,4.25279,4.25477,4.25207,4.25442,338,365,0,2025-09-23,Tuesday
2025-09-23 04:00:00,4.25442,4.25452,4.2520299999999995,4.25432,384,301,0,2025-09-23,Tuesday
2025-09-23 05:00:00,4.25432,4.25642,4.25432,4.25582,1460,243,0,2025-09-23,Tuesday
2025-09-23 06:00:00,4.25582,4.25782,4.25121,4.25582,2752,246,0,2025-09-23,Tuesday
2025-09-23 07:00:00,4.25572,4.25592,4.25252,4.25422,1126,240,0,2025-09-23,Tuesday
2025-09-23 08:00:00,4.25412,4.25492,4.25272,4.25292,749,241,0,2025-09-23,Tuesday
2025-09-23 09:00:00,4.25292,4.25532,4.25242,4.25525,1327,246,0,2025-09-23,Tuesday
2025-09-23 10:00:00,4.25525,4.25607,4.25432,4.25462,891,240,0,2025-09-23,Tuesday
2025-09-23 11:00:00,4.25462,4.25512,4.25282,4.25452,815,240,0,2025-09-23,Tuesday
2025-09-23 12:00:00,4.25452,4.25639,4.25352,4.25562,1102,240,0,2025-09-23,Tuesday
2025-09-23 13:00:00,4.25552,4.25732,4.25502,4.25632,1112,240,0,2025-09-23,Tuesday
2025-09-23 14:00:00,4.25632,4.25914,4.25622,4.25803,1340,246,0,2025-09-23,Tuesday
2025-09-23 15:00:00,4.25798,4.25862,4.25728,4.25762,966,276,0,2025-09-23,Tuesday
2025-09-23 16:00:00,4.25725,4.25762,4.25572,4.25646,473,261,0,2025-09-23,Tuesday
2025-09-23 17:00:00,4.25646,4.25832,4.25646,4.25792,256,266,0,2025-09-23,Tuesday
2025-09-23 18:00:00,4.25792,4.2586,4.25756,4.25759,211,286,0,2025-09-23,Tuesday
2025-09-23 19:00:00,4.25759,4.25795,4.25618,4.25618,206,300,0,2025-09-23,Tuesday
2025-09-23 20:00:00,4.25558,4.25657,4.25445,4.25607,206,488,0,2025-09-23,Tuesday
2025-09-23 21:00:00,4.25597,4.2572,4.25481,4.25629,210,448,0,2025-09-23,Tuesday
2025-09-23 22:00:00,4.25629,4.25732,4.25518,4.25662,195,377,0,2025-09-23,Tuesday
2025-09-23 23:00:00,4.25672,4.25755,4.2551,4.25753,188,346,0,2025-09-23,Tuesday
2025-09-24 00:00:00,4.25753,4.25842,4.25627,4.25822,171,326,0,2025-09-24,Wednesday
2025-09-24 01:00:00,4.25822,4.25832,4.25617,4.25812,80,316,0,2025-09-24,Wednesday
2025-09-24 02:00:00,4.25812,4.25842,4.25578,4.25822,595,296,0,2025-09-24,Wednesday
2025-09-24 03:00:00,4.25687,4.25832,4.25597,4.25813,110,306,0,2025-09-24,Wednesday
2025-09-24 04:00:00,4.25813,4.25862,4.25601,4.25842,292,286,0,2025-09-24,Wednesday
2025-09-24 05:00:00,4.25842,4.26007,4.25652,4.25782,1154,240,0,2025-09-24,Wednesday
2025-09-24 06:00:00,4.25782,4.26232,4.25722,4.26122,1130,240,0,2025-09-24,Wednesday
2025-09-24 07:00:00,4.26092,4.26722,4.26092,4.26602,847,240,0,2025-09-24,Wednesday
2025-09-24 08:00:00,4.26602,4.26662,4.26272,4.26442,908,240,0,2025-09-24,Wednesday
2025-09-24 09:00:00,4.26442,4.26862,4.26442,4.26812,878,240,0,2025-09-24,Wednesday
2025-09-24 10:00:00,4.26812,4.26842,4.26502,4.26532,898,240,0,2025-09-24,Wednesday
2025-09-24 11:00:00,4.26542,4.26912,4.26372,4.26842,1206,240,0,2025-09-24,Wednesday
2025-09-24 12:00:00,4.26842,4.26892,4.26652,4.26712,1275,248,0,2025-09-24,Wednesday
2025-09-24 13:00:00,4.26722,4.26832,4.26522,4.26622,1199,240,0,2025-09-24,Wednesday
2025-09-24 14:00:00,4.26622,4.26732,4.26552,4.26592,937,240,0,2025-09-24,Wednesday
